id,product_id,product_name,category,brand,model,base_price,offer_price,product_status,gst_percent,stock_quantity,Department
17,5116877-16618298648,UNBRANDED Ethylene Vinyl Acetate ( EVA) Yoga Mats 180 centimeter 60centimeter,Yoga Mats,NA ,UNBRANDED  yoga mat 4mm   ( EVA ),399,399,Published,18,0,Sports & Fitness
18,5116877-76559938187,PROCESSOR,Processor for Desktop,Intel,INTEL CORE I5 700T,18000,18000,Published,18,0,Furniture
19,5116877-67232396389,"Unbranded Evaporative Air Coolers (Desert Coolers), Floor Mounted Air Capacity - 2500 m3/hr",Evaporative Air Coolers (Desert Coolers) Conforming To IS 3315,NA ,MI/EAC/25,28500,28500,Published,18,0,Home Appliances
20,5116877-81233619633,Unbranded Class A: 120 Litres Mobile Container for Solid Waste Without Plugged Outlet,Mobile Containers For Solid Waste Conforming to IS 12402,NA ,WBINJ-120,6500,6500,Published,18,0,Miscellaneous
21,5116877-4830048343,PowerX PMB H55 LGA 1156 Socket Support Motherboard,Motherboard for Desktop,power x,PowerX PMB H55 LGA 1156 Socket Support Motherboard,5596,5596,Published,18,0,Furniture
22,5116877-96200679685,Uniball 0.5 mm Blue Capped Plastic Gel Pen,Gel Pen (V3),Uniball,UB-157,80,80,Published,18,0,Office Supplies
23,5116877-33798672249,Solar Street Lighting System - 12w,White - LED Based Solar Street Lighting System,NA ,SSL-12W (75wp),16000,16000,Published,18,0,Electrical
24,5116877-8468600601,PC SMPS 450W,Switch Mode Power Supply (SMPS) as per IS 14886:,NA ,PC 450W,1200,1200,Published,18,0,Computer & IT
25,5116877-49365610011,ZEBRONICS Intel H470 MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,ZEBRONICS,ZEB--H81,5899,5899,Published,18,0,Furniture
26,5116877-89662006421,ZEBRONICS Intel H270 MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,ZEBRONICS,Zebronics H61 Motherboard,6115,6115,Published,18,0,Furniture
27,5116877-90240037085,AARVEX H-81M MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,aarvex,AARVEX H-81M,3950,3950,Published,18,0,Furniture
28,5116877-35897525840,GIGABYTE Intel H310 MOTHERBOARD FOR DESKTOP,Motherboard for Desktop,GIGABYTE,Gigabyte H110M-S2 Supported Socket 1156 For 6th & 7th Gen CPU,18400,18400,Published,18,0,Furniture
29,5116877-84413109444,Intel Core i3-12100F 3.3 GHz Quad-Core LGA 1700 Processor(i3-1200F),Processor for Desktop,Intel,Intel Core i3-12100F 3.3 GHz Quad-Core LGA 1700,33500,33500,Published,18,0,Furniture
30,5116877-62648847122,EVM Random Access Memory (RAM) Card 8 GB,Random Access Memory (RAM) Card (V2),EVM,8GB DDR4 2133,9999,9999,Published,18,0,Computer & IT
31,5116877-75758602973,"Intel Intel 12 Processor, Number of Cores per Processor 6",Processor for Desktop,Intel,Intel i5 12400,28500,28500,Published,18,0,Furniture
32,5116877-84534389892,Wall Clock,Wall Clock (Preschool Kit),SHUBHAM,W-9744,1000,1000,Published,18,0,Electronics
33,5116877-50209570987,Gigabyte H61 MOTHERBOARD DDR 4,Motherboard for Desktop,GIGABYTE,Gigabyte H61 MOTHERBOARD DDR 4,9500,9500,Published,18,0,Furniture
34,5116877-28672412220,(DDR 4 (8 GB) RAM),Random Access Memory (RAM) Card (V2),NA ,(DDR 4 (8 GB) RAM),2500,2500,Published,18,0,Computer & IT
35,5116877-90920318496,LSI MEGARAID,Graphics Card,NA ,9271-8i,32000,32000,Published,18,0,Miscellaneous
36,5116877-58910045704,Motherboard for desktop,Motherboard for Desktop,NA ,H410 MH,9360,9360,Published,18,0,Furniture
37,5116877-82623063715,Unbranded Random Access Memory (RAM) Card 8 GB,Random Access Memory (RAM) Card (V2),NA ,RAM DDR4 8 GB 2666Mhz,3800,3800,Published,18,0,Computer & IT
38,5116877-47931494106,Unbranded Switch Mode Power Supply (SMPS),Switch Mode Power Supply (SMPS) as per IS 14886:,NA ,SMPS,900,900,Published,18,0,Computer & IT
39,5116877-88050746838,B2B COPIER 70 GSM A4,Plain Copier Paper (V3) ISI Marked to IS 14490,B2B COPIER,WESCO B2B 70 GSM A4,360,360,Published,18,0,Office Supplies
40,5116877-39680112694,JK COPIER A3-80GSM,Plain Copier Paper (V3) ISI Marked to IS 14490,jk copier,JK PAPER LTD,845,845,Published,18,0,Office Supplies
41,5116877-37789188490,JK Paper 2.18 kilogram Ream of 500 Sheet 70 gsm A4 size Plain Copier Paper,Plain Copier Paper (V3) ISI Marked to IS 14490,JK Paper,JK PAPER LTD,350,350,Published,18,0,Office Supplies
42,5116877-93035458428,AXELON 1.5 2 Copper Galvanized round steel wire Type C,Control Cable,AXELON,AX-CC1.5SQMM,91,91,Published,18,0,Electrical
43,5116877-87371115010,S TYPE CANE WIRE OFFICE CHAIR,Chairs - Handcrafted,NA ,S TYPE CANE WIRE OFFICE CHAIR,18000,18000,Published,18,0,Furniture
44,6894588-93861616265,office chair,Chairs - Handcrafted,NA ,office chair,5477,5477,Draft Products,18,0,Furniture
45,5116877-39092041508,DURACELL Cylindrical cells (Jacketed cylindrical cells dimensionally intechangeable with primary cells)  C (R14) 1.5 Ah Portable Sealed Rechargeable Single Cells - Nickel-Metal Hydride (Rechargeable Batteries),"Portable Sealed Rechargeable Single Cells - Nickel - Metal Hydride (Rechargeable Batteries) as per IS 16048, 16046",DURACELL,Y3 6135-000006,50,50,Published,18,0,Furniture
46,5116877-35171031226,VO32 BUTTON CELL,Button Cell or Coin Cell Battery,NA ,V032,80,80,Published,18,0,Electrical
47,5116877-34803993381,GIP-RACK6Ft,Stainless Steel Shelf Rack,NA ,GIP-RACK6Ft,12000,12000,Published,18,0,Furniture
48,5116877-38082389374,ROJET BOX SINGLE JACK,Modular Accessory Telephone Jack-IS:: 3854,NA ,Rojat box telephone,100,100,Published,18,0,Miscellaneous
49,5116877-5687878582,(Duracell Size AA battary,Button Cell or Coin Cell Battery,DURACELL,(Duracell (Size AA ),49,49,Published,18,0,Electrical
50,5116877-49047260532,Duracell (9V Battery),Button Cell or Coin Cell Battery,DURACELL,Duracell (9V Battery),300,300,Published,18,0,Electrical
51,5116877-83039914639,LAPCARE SSD 512GB_ 5Y,Internal Storage Device (SSD/HDD),LAPCARE,LAPCARE SSD 512GB_5Y,5469,5469,Published,18,0,Computer & IT
52,5116877-62618987855,DURACELL Alkaline Battery 9 Volt,Alkaline Battery 9V,DURACELL,DC,500,500,Published,18,0,Electrical
53,5116877-83482882517,"DURACELL CR Alkaline Coin Cell Battery, Capacity 1.5 mAh",Button Cell or Coin Cell Battery,DURACELL,((Duracell (Size AA )),49,49,Published,18,0,Electrical
54,5116877-42109344184,DURACELL Alkaline Battery 9 Volt,Alkaline Battery 9V,DURACELL,DURACELL ULTRA ALKALINE 9 VOLT BATTERY-6LP3146 / MN1604- WITHOUT ISI MARK & CML NO,480,480,Published,18,0,Electrical
55,5116877-19853345079,Unbranded Material Table Furniture Assembly (Golden),Tables,NA ,JDJ Table,95000,95000,Published,18,0,Furniture
56,5116877-97273104104,LAPCARE Standard keyboard with Optical Movement Detection Technology Mouse,Keyboard and Mouse Combo,LAPCARE,LAPCARE KEYBOARD MOUSE COMBO_1Y,999,999,Published,18,0,Computer & IT
57,5116877-62764459334,Reflection Multipurpose Copier Paper - 70 GSM (A4),Plain Copier Paper (V3) ISI Marked to IS 14490,Reflection Multipurpose Copier Paper,Reflection Multipurpose Copier Paper,365,365,Published,18,0,Office Supplies
58,5116877-37444280048,Reflection White,Plain Copier Paper (V3) ISI Marked to IS 14490,REFLECTION WHITE,Reflection White-70 GSM-A4,365,365,Published,18,0,Office Supplies
59,5116877-83467279273,Lapcare Monitor LMN22WD,Computer Monitor,LAPCARE,LMN22WD,14000,14000,Published,18,0,Computer & IT
60,5116877-68277360726,LAPCARE LMN21WD Monitor,Computer Monitor,LAPCARE,LAPCARE LMN21WD Monitor,8400,8400,Published,18,0,Computer & IT
61,5116877-41284230711,EUCCOI Standard Keyboard - Wired - Plug and Play 1 Years,Keyboard for Personal Computers (V2) as per IS 14441,EUCCOI,Dell wireless keyboard mouse combo Km3322,3999,3999,Published,18,0,Computer & IT
62,5116877-36420471794,Iron Chair Already Assembled,Chairs - Handcrafted,Urbangrey,nontilting,20000,20000,Published,18,0,Furniture
63,5116877-96049600808,Krone Plastic 10 mm Crimping Tools,Crimping Tools,Krone,Crimping Tools,1015,1015,Published,18,0,Safety & Industrial
64,5116877-50669325718,TRUE RMS CLAMP METER,true rms clamp meter,NA ,SI-CM-100,18500,18500,Published,18,0,Miscellaneous
65,5116877-31951765104,Optik vision gold Fiber Optic Joint Box Termination Enclosure Box OFC Splicing Tray,modular electrical enclosure switch board boxes for modular type accessories,NA ,Optik vision gold Fiber Optic Joint Box Termination Enclosure Box OFC Splicing Tray,400,400,Published,18,0,Computer & IT
66,5116877-58929891278,UNBRANDED HOT /COLD AND NORMAL FLOOR STANDING WATER DISPENSER,Hot / Cold Water Dispenser (V2),NA ,UNBRANDED HOT /COLD WATER DISPENSER,13000,13000,Published,18,0,Office Supplies
67,5116877-29643297132,FS250,HEDGE TRIMMER or HEDGE CUTTER,NA ,STHL Brush Cutter,45000,45000,Published,18,0,Miscellaneous
68,5116877-22472481092,"Unbranded Wax Thermal Ribbon , 300 Meters",Thermal Ribbon,NA ,Thermal Ribbon 300*105,300,300,Published,18,0,Office Supplies
69,5116877-52934077418,LABLES STICKERS,Labels Stickers (V2),SAUMYA,SAUMYA,429,429,Published,18,0,Office Supplies
70,5116877-66914020668,Unbranded 500 number of Non-adhesive Labels / Stickers,Labels Stickers (V2),NA ,UNBRANDED NON - ADHESIVE LABELS,1000,1000,Published,18,0,Office Supplies
71,5116877-9261568709,K - 4 Crash Rated Boom Barrier,K - 4 Crash Rated Boom Barrier,NA ,PE-k1000,350000,350000,Published,18,0,Safety & Industrial
72,5116877-74995770176,Unbranded Metal Drawer File Cabinet,Modular Metal Drawer File Cabinet Pedestal,NA ,Unbranded Metal Drawer File Cabinet,14994,14994,Published,18,0,Furniture
73,5116877-30073522477,"Unbranded K-4 CRASH RATED BOOM BARRIER, Warranty 1 year",K - 4 Crash Rated Boom Barrier,NA ,II-01-Customize,650000,650000,Published,18,0,Safety & Industrial
74,6894588-3994079522,J&A-OC004,Chairs - Handcrafted,NA ,NA,5500,5500,Draft Products,18,0,Furniture
75,5116877-78468299547,LAPCARE Internal Solid State Drive (SSD) with Warranty 2 Years,Internal Storage Device (SSD/HDD),LAPCARE,Lapcare LAPDISC NVMe 2280 PCIe Gen 3 SSD 512GB 2YR,6929,6929,Published,18,0,Computer & IT
76,5116877-42826277609,WOODEN HI BACK CHAIR,Chairs - Handcrafted,NA ,WOODEN HI BACK CHAIR,22000,22000,Published,18,0,Furniture
77,6894588-19079279785,TVS 40 PLUS RIBBON CARTRIDGE,Thermal Ribbon,OG,TVS 40 PLUS RIBBON CARTRIDGE,2500,2500,Discontinued,18,0,Office Supplies
78,5116877-29831380194,S TYPE NETTED CHAIR,Chairs - Handcrafted,NA ,S TYPE NETTED CHAIR,4500,4500,Published,18,0,Furniture
79,5116877-95796865645,Pad Locks IG 4 Levers 75 mm,Pad Lock Various (As Per Defence Specification),NA ,Pad Locks IG 4 Levers 75 mm As per Defence specification IND/GS/1909 Brass padlocks with male or female keys – As per Fig 1 of govng. Specn.,750,750,Published,18,0,Miscellaneous
80,5116877-13884258418,Unbranded Random Access Memory (RAM) Card 16 GB,Random Access Memory (RAM) Card (V2),NA ,16GB Ram DDR-4 2666mhz,8000,8000,Published,18,0,Computer & IT
81,5116877-31069476824,Quick Heal Total Security 1 user 1 year,Desktop And Application Virtualisation Software,Microsoft,Quick Heal Total Security 1 user 1 year,1909,1909,Published,18,0,Furniture
82,5116877-92606864050,g41 motherboard,Motherboard for Desktop,ZEBRONICS,G41 MOTHERBOARD,6000,6000,Published,18,0,Furniture
83,6894588-43917820479,LAPCARE RAM 16GB DDR4 3200,Random Access Memory (RAM) Card (V2),LAPCARE,LAPCARE RAM 16GB DDR4 3200,7599,7599,Pending Approval,18,0,Computer & IT
84,5116877-21650222136,LAPCARE 512GB_ SATA_ SSD_ 2Y,Internal Storage Device (SSD/HDD),LAPCARE,LAPCARE 512GB_ SATA_ SSD_ 2Y,5469,5469,Published,18,0,Computer & IT
85,5116877-18719459640,Platform Ladder,Platform Step Ladder (V2),NA ,Platform Ladder,10000,10000,Published,18,0,Safety & Industrial
86,5116877-59510510252,WELBUILT Aluminium Platform step ladder of total extended height of 12 feet,Platform Step Ladder (V2),WELBUILT,Step Ladder,45000,45000,Published,18,0,Safety & Industrial
87,5116877-29276138445,LAPCARE SSD 256_ 3YRS,Internal Storage Device (SSD/HDD),LAPCARE,LAPCARE SSD 256_3YRS,3489,3489,Published,18,0,Computer & IT
88,5116877-62852572727,Unbranded EOS 700D DSLR Camera Body with Dual Lens: EF S18 - 55 mm,DSLR Camera Lens,NA ,EOS 700D DSLR,44995,44995,Discontinued,18,0,Electronics
89,5116877-49193993287,COUNTER REVOLVING CHAIR,Counter Chair (Bar / Pub),NA ,RC,8500,8500,Published,18,0,Furniture
90,6894588-48345513773,CHAIR,Chair (Preschool Kit),Nilkamal,CHR4002,750,750,Pending Approval,18,0,Furniture
91,5116877-29431377734,CARE-O-SAFE,Sanitary Napkins Vending Machines,NA ,COSM-50,16900,16900,Published,18,0,Miscellaneous
92,5116877-25206435176,SANITARY NAPKINS INCINETATOR MACHINE WITH SMOKE CONTROL UNIT,Sanitary Napkins Incinetator Machine with Smoke Control Unit,NA ,JAN2019 ORG/BR008,25000,25000,Published,18,0,Miscellaneous
93,5116877-15782996519,LP 46 Neo,Label Printer / Barcode Printer,TVS,LP 46 Neo,20995,20995,Published,18,0,Computer & IT
94,5116877-96263467961,TVS ELECTRONICS Loose Currency Desktop/Table Top-Type Currency Counting Machine having counting speed Upto 1000 currency notes per minute,Currency Counting Machine (V2),TVS ELECTRONICS,CC-232G+ CASH COUNTER,8995,8995,Published,18,0,Miscellaneous
95,5116877-15548634725,Unbranded Stationary Valve Regulated Lead Acid Batteries 42 Ah,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,NA ,42AH SMF BATTERY,6225,6225,Published,18,0,Miscellaneous
96,5116877-83908903632,Unbranded Stationary Valve Regulated Lead Acid Batteries 150 Ah,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,NA ,12V 150AH,20000,20000,Published,18,0,Miscellaneous
97,5116877-5417546424,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,Stationary Valve Regulated Lead Acid Batteries (V2) as per IS 15549,NA ,BATTERY/12V 100A,17000,17000,Published,18,0,Miscellaneous
98,5116877-10920755403,"FCBC 48V, 25A With 4 Module",General Purpose Battery Chargers,Parswa,"Parswa, FCBC 48V,25A PPM 4850-LCD",46870,46870,Published,18,0,Electrical
99,5116877-76669218286,Add on GATEWAYS and Accessories for PABX System,Add on GATEWAYS  and Accessories for  PABX System,ANDA TELECOM,AT-OLT-32T,300000,300000,Published,18,0,Miscellaneous
100,5116877-84784496404,FXO FXS 32 PORT,Add on GATEWAYS  and Accessories for  PABX System,ANDA TELECOM,AT-OLT-32T,95000,95000,Published,18,0,Miscellaneous
101,5116877-36741770237,Unbranded C1393E Switch Fuse Unit 415 volts,Switch Fuse Unit,NA ,OFF LOAD CHANGE OVER SWITCH  63Amp,7255,7255,Published,18,0,Computer & IT
102,5116877-50638192738,Cash Counter CC 453 Star+,Currency Counting Machine (V2),TVS ELECTRONICS,Cash Counter CC 453 Star+,16995,16995,Published,18,0,Miscellaneous
103,5116877-20096135539,TVS SPEED40 STAR,Thermal Ribbon,NA ,TVS SPEED 40 STAR RIBBON CARTRIDGE,1700,1700,Published,18,0,Office Supplies
104,5116877-9911019727,EPSON PLQ 20 RIBBON CARTRIDGE[ SET OF 3,Thermal Ribbon,surya,EPSON PLQ 20 RIBBON CARTRIDGE[ SET OF 3,2980,2980,Published,18,0,Office Supplies
105,5116877-85776292567,Revolving Without Foot Rest and Back rest,medical stools or chairs,NA ,Chair,30000,30000,Published,18,0,Furniture
106,5116877-7432218283,UNBRANDED REVOLVING CHAIR,Counter Chair (Bar / Pub),NA ,UNBRANDED REVOLVING CHAIR,14000,14000,Published,18,0,Furniture
107,5116877-36135770380,Unbranded Mild steel Table Top Elevator Writing Desk,Table Top Elevator Writing Desk,NA ,Table Top Elevator Writing Desk,18000,18000,Published,18,0,Furniture
108,5116877-8809801461,BY UNBRANDED OFFICE CHAIR,Counter Chair (Bar / Pub),NA ,NA,12000,12000,Published,18,0,Furniture
109,5116877-40818712661,BioEnable Dual Iris Scanner as per UIDAI Specification with 3 Years Warranty,Dual Iris Scanner as per UIDAI Specification,BiOEnABLE,IriUniverse-Two,30000,30000,Published,18,0,Electronics
110,5116877-28671198306,Fingerprint Scanner (Slap Scanner) as per UIDAI Specification,Fingerprint Scanner (Slap Scanner) as per UIDAI Specification,THALES,DactyScan84c,60000,60000,Published,18,0,Electronics
111,5116877-59261340215,KEC Chair,Chairs - Handcrafted,KEC,chair,50000,50000,Published,18,0,Furniture
112,5116877-13088079505,KURCI - MID BACK CUSHIONED REVOLVING CHAIR,Counter Chair (Bar / Pub),NA ,KURCI-MID BACK CUSHIONED REVOLVING CHAIR,12000,12000,Published,18,0,Furniture
113,5116877-84118930136,REVOLVING CHAIR VRUNDAVAN ENTERPRISE,Counter Chair (Bar / Pub),NA ,VA12A401,18000,18000,Published,18,0,Furniture
114,5116877-80014189064,RUDDHANIA MODULAR TABLE 09,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 09,25000,25000,Published,18,0,Furniture
115,5116877-53749125117,Waiting area chair,Waiting Area / Airport Terminal / Public Place / Reception area Chair or Seat (V2),Rana Furnicos Pvt. Ltd,RF-WAC-009,40000,40000,Published,18,0,Furniture
116,5116877-43458737597,DAZE FURNITURES Mid-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA8769,11000,11000,Published,18,0,Furniture
117,5116877-27306634487,DAZE FURNITURES Mid-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA66,10000,10000,Published,18,0,Furniture
118,5116877-31004029064,DAZE FURNITURES High-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA0658,10000,10000,Published,18,0,Furniture
119,5116877-23856682485,Unbranded Stainless Steel Rectangular Dining Table with C3431E fixed Chair,Stainless Steel Dining Table With Fixed Chair,NA ,GF-520,20000,20000,Discontinued,18,0,Furniture
120,5116877-65382505232,Modular Table with Particle Board Table Top and Wooden/Engineer Wood Understructure,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,NA,46000,46000,Published,18,0,Furniture
121,5116877-76877954479,RUDDHANIA MODULAR TABLE 09,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 09,22000,22000,Published,18,0,Furniture
122,5116877-25223780539,Ruddhania Modular Table 02,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,Ruddhania Modular Table 02,45000,45000,Published,18,0,Furniture
123,5116877-66816935629,Microsoft,Desktop And Application Virtualisation Software,Microsoft,MS OFFICE PRO 2024,47899,47899,Published,18,0,Furniture
124,5116877-99371778172,Microsoft,Desktop And Application Virtualisation Software,Microsoft,microsoft office 2024 professional plus,37999,37999,Published,18,0,Furniture
125,5116877-64054522765,TV 32 INCHES,Tv & Entertainment Units,NA ,NA,25000,25000,Published,18,0,Electronics
126,5116877-50277827824,Office LTSC Professional Plus 2024,Office Suite Software (V3),Microsoft,Office LTSC Professional Plus 2024 (CSP Perpetual),5000,5000,Published,18,0,Computer & IT
127,5116877-12820870081,Microsoft Windows 11 Pro Operating System Software,Operating System Software (V3),Microsoft,Windows GGWA - Windows 11 Pro - Legalization Get,10000,10000,Published,18,0,Computer & IT
128,5116877-75262370250,Quick Heal Total Shield 10 User 3 Years,Antivirus Software,Quick heal,Quick Heal Total Shield 10 User 3 Years,20000,20000,Published,18,0,Computer & IT
129,6894588-13770268452,Adobe Acrobat Pro for Enterprise - Government Edition_ 3Y,Desktop Publishing Software (PDF Viewer and Writer),Adobe,Adobe Acrobat Pro Enterprise - Government Edition,119457,119457,Discontinued,18,0,Furniture
130,6894588-77752717453,WIN 11 PRO (OEM DVD PACK),Add on Softwares - Lisences and Accessories for PABX System,IHT,WIN 11 PRO (OEM DVD PACK),25000,25000,Pending Approval,18,0,Computer & IT
131,5116877-83363008505,Adobe Acrobat Pro Dc 2024 Perpetual,Desktop Publishing Software (PDF Viewer and Writer),ADOBE EXPRESS,Adobe Acrobat Pro Dc 2024 Perpetual,49000,49000,Published,18,0,Furniture
132,5116877-21823852557,Net Protector Total Security 10U 3YR,Antivirus Software,NET PROTECTOR,Net Protector Total Security 10U 3YR,25000,25000,Published,18,0,Computer & IT
133,5116877-78511654165,Brown Simple Stool - Medium Height,Plastic Stool (V2),NA ,KR plastic stool,850,850,Published,18,0,Furniture
134,5116877-22081349122,Unbranded Silver Grey Colored Steel Shelving Cabinets,Steel Almirah / Cabinets conforming to IS 3312 (V4),NA ,ACPL-SSC-004,32000,32000,Published,18,0,Furniture
135,5116877-1807609753,EPSON PASSBOOK 128 Kbyte Bankbook or Passbook Update Machines-printer,Bankbook or Passbook Update Machines - Printer,EPSON PASSBOOK,EPSON- PLQ-35 PASSBOOK PRINTER,39500,39500,Published,18,0,Computer & IT
136,6894588-28249376147,MDH - Sabzi Masala (100g),Sabji Masala (????? ?????),MDH,mdh-sabzi-100,168,168,Draft Products,18,0,Kitchen & Dining
137,5116877-64889413426,TVS ELECTRONICS Handheld (Wired) Based Barcode Scanner,Barcode Scanner,TVS ELECTRONICS,BS-i103 G,4495,4495,Published,18,0,Electronics
138,5116877-47468005602,TVS ELECTRONICS Handheld (Wired) Based Barcode Scanner,Barcode Scanner,TVS ELECTRONICS,BS L100 Plus,4245,4245,Published,18,0,Electronics
139,5116877-99314056844,REVOLVING CHAIR,Revolving Chair (V5),DAZE FURNITURES,BALLA901,6400,6400,Published,18,0,Furniture
140,5116877-83776417869,DAZE FURNITURES Mid-back Revolving Chair of Adjustable height with Wheels,Revolving Chair (V5),DAZE FURNITURES,BALLA00001,10000,10000,Published,18,0,Furniture
141,5116877-37068059383,LABWAN Mild Steel Colony counter electronic balance,Colony counter electronic balance,LABWAN,LW-CC4,200000,200000,Discontinued,18,0,Furniture
142,5116877-21990188450,Mobile stand with card holder,Business Card Holders,NA ,Mobile stand with card holder,400,400,Published,18,0,Miscellaneous
143,5116877-64108049127,Unbranded Compostable Carry Bags 25 microns; 6 Kgs; 475 mm x 350 mm; 10.9 gms,Compostable Carry Bags,NA ,TRISHUL,175,175,Published,18,0,Furniture
144,5116877-70846694706,RUDDHANIA MODULAR TABLE 0926,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 0926,30000,30000,Published,18,0,Furniture
145,5116877-83097333674,MODULAR TABLE,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,MODULAR TABLE,16000,16000,Published,18,0,Furniture
146,5116877-23424615931,RUDDHANIA MODULAR TABLE 09,Modular Table / Meeting Table / Centre Table (V2),Ruddhania Flexible Furnitures,RUDDHANIA MODULAR TABLE 09,54800,54800,Published,18,0,Furniture
147,5116877-82214352411,CAP FOREST,peak cap,NA ,CAP FOREST,135,135,Published,18,0,Miscellaneous
148,5116877-22829244740,Office Bag,Office Bags (V2),NA ,NA,950,950,Published,18,0,Office Supplies
149,5116877-13747658875,Tshirt,T-Shirt (V3),NA ,NA,599,599,Published,18,0,Miscellaneous
150,5116877-28068439430,Unbranded Stainless Steel Electronic Baby Weighing Scale -100kg capacity,Electronic Baby Weighing Scale - RBSK,NA ,unbranded baby weighing scale,50000,50000,Published,18,0,Miscellaneous
151,5116877-27891146562,TVS Non-Mechanical Wired Computer Keyboard,Computer Keyboards,TVS,TVS Champ HD Keyboard,1095,1095,Published,18,0,Computer & IT
152,5116877-19214623695,TVS ELECTRONICS Wired Computer Mouse,Computer Mouse,TVS ELECTRONICS,TVS Champ M120 Mouse,399,399,Published,18,0,Computer & IT
153,5116877-43339620635,CC-232G CASH COUNTER,Currency Counting Machine (V2),TVS ELECTRONICS,CC-232G CASH COUNTER,8900,8900,Published,18,0,Miscellaneous
154,5116877-23383819439,LAPCARE LPSSD256GBPRO,Internal Storage Device (SSD/HDD) (V2),LAPCARE,LPSSD256GBPRO,16399,16399,Published,18,0,Computer & IT
